Datetime,Ticker,Open,High,Low,Close
2019-01-08,NIFTY BANK.NSE_IDX,27312.65,27542.4,27161.95,27499.05
2019-01-09,NIFTY BANK.NSE_IDX,27661.6,27754.45,27409.5,27711.2
2019-01-10,NIFTY BANK.NSE_IDX,27692.75,27713.55,27488.2,27526.25
2019-01-11,NIFTY BANK.NSE_IDX,27608.0,27612.45,27382.45,27420.4
2019-01-14,NIFTY BANK.NSE_IDX,27389.8,27389.8,27182.2,27252.2
2019-01-15,NIFTY BANK.NSE_IDX,27358.65,27447.55,27317.1,27388.9
2019-01-16,NIFTY BANK.NSE_IDX,27443.35,27554.75,27403.05,27451.85
2019-01-17,NIFTY BANK.NSE_IDX,27561.3,27611.55,27335.15,27495.35
2019-01-18,NIFTY BANK.NSE_IDX,27567.5,27576.45,27410.65,27465.1
2019-01-21,NIFTY BANK.NSE_IDX,27518.4,27622.2,27388.5,27523.7
2019-01-22,NIFTY BANK.NSE_IDX,27533.35,27533.35,27385.4,27470.55
2019-01-23,NIFTY BANK.NSE_IDX,27494.95,27564.7,27189.6,27224.3
2019-01-24,NIFTY BANK.NSE_IDX,27293.85,27342.35,27142.8,27297.95
2019-01-25,NIFTY BANK.NSE_IDX,27296.0,27433.55,27045.2,27119.2
2019-01-28,NIFTY BANK.NSE_IDX,27055.8,27134.2,26587.95,26710.25
2019-01-29,NIFTY BANK.NSE_IDX,26621.6,26743.85,26441.55,26680.5
2019-01-30,NIFTY BANK.NSE_IDX,26828.15,26916.25,26693.7,26838.5
2019-01-31,NIFTY BANK.NSE_IDX,26994.75,27325.05,26891.05,27250.25
2019-02-01,NIFTY BANK.NSE_IDX,27310.05,27533.05,26930.45,27060.2
2019-02-04,NIFTY BANK.NSE_IDX,26999.7,27243.8,26825.55,27180.2
2019-02-05,NIFTY BANK.NSE_IDX,27240.0,27348.25,27153.2,27275.15
2019-02-06,NIFTY BANK.NSE_IDX,27343.85,27428.65,27294.1,27405.7
2019-02-07,NIFTY BANK.NSE_IDX,27445.9,27589.75,27322.95,27345.65
2019-02-08,NIFTY BANK.NSE_IDX,27285.55,27482.1,27221.25,27261.5
2019-02-11,NIFTY BANK.NSE_IDX,27256.1,27305.9,27151.55,27259.95
2019-02-12,NIFTY BANK.NSE_IDX,27169.65,27286.65,26988.9,26996.15
2019-02-13,NIFTY BANK.NSE_IDX,27106.1,27108.0,26839.05,26842.9
2019-02-14,NIFTY BANK.NSE_IDX,26971.75,27030.0,26818.05,26992.8
2019-02-15,NIFTY BANK.NSE_IDX,27029.95,27029.95,26635.25,26792.9
2019-02-18,NIFTY BANK.NSE_IDX,26792.6,26829.95,26617.7,26633.3
2019-02-19,NIFTY BANK.NSE_IDX,26687.1,26996.45,26625.6,26656.5
2019-02-20,NIFTY BANK.NSE_IDX,26791.85,26985.5,26732.65,26966.75
2019-02-21,NIFTY BANK.NSE_IDX,27002.75,27100.9,26973.0,27060.75
2019-02-22,NIFTY BANK.NSE_IDX,26981.15,26997.35,26847.8,26859.9
2019-02-25,NIFTY BANK.NSE_IDX,26951.85,27197.1,26932.65,27138.65
2019-02-26,NIFTY BANK.NSE_IDX,26865.5,27127.25,26736.6,26947.6
2019-02-27,NIFTY BANK.NSE_IDX,27088.4,27189.45,26719.4,26778.3
2019-02-28,NIFTY BANK.NSE_IDX,26908.55,26920.5,26762.55,26811.95
2019-03-01,NIFTY BANK.NSE_IDX,26941.0,27076.55,26928.9,27022.95
2019-03-05,NIFTY BANK.NSE_IDX,27072.5,27580.75,26958.1,27527.3
2019-03-06,NIFTY BANK.NSE_IDX,27634.65,27681.65,27492.05,27610.7
2019-03-07,NIFTY BANK.NSE_IDX,27662.4,27815.5,27560.0,27754.7
2019-03-08,NIFTY BANK.NSE_IDX,27686.15,27811.35,27645.4,27758.9
2019-03-11,NIFTY BANK.NSE_IDX,27807.1,28035.6,27791.25,27973.05
2019-03-12,NIFTY BANK.NSE_IDX,28174.25,28488.1,28142.25,28422.65
2019-03-13,NIFTY BANK.NSE_IDX,28499.4,28927.7,28353.65,28893.55
2019-03-14,NIFTY BANK.NSE_IDX,29037.0,29070.35,28819.75,28913.45
2019-03-15,NIFTY BANK.NSE_IDX,29020.1,29520.7,28990.85,29411.45
2019-03-18,NIFTY BANK.NSE_IDX,29526.5,29812.0,29361.65,29688.3
2019-03-19,NIFTY BANK.NSE_IDX,29720.95,29799.75,29547.7,29754.15
2019-03-20,NIFTY BANK.NSE_IDX,29751.05,29885.2,29633.5,29859.2
2019-03-22,NIFTY BANK.NSE_IDX,29889.0,30008.1,29508.7,29579.0
2019-03-25,NIFTY BANK.NSE_IDX,29274.2,29329.4,29156.25,29261.95
2019-03-26,NIFTY BANK.NSE_IDX,29289.85,29950.15,29278.5,29935.65
2019-03-27,NIFTY BANK.NSE_IDX,30040.4,30262.55,29790.25,30013.15
2019-03-28,NIFTY BANK.NSE_IDX,30049.3,30496.05,29969.1,30414.3
2019-03-29,NIFTY BANK.NSE_IDX,30496.5,30499.15,30235.9,30383.2
2019-04-01,NIFTY BANK.NSE_IDX,30568.4,30648.1,30218.35,30250.85
2019-04-02,NIFTY BANK.NSE_IDX,30424.75,30452.9,30155.85,30445.75
2019-04-03,NIFTY BANK.NSE_IDX,30470.65,30602.55,30036.25,30081.0
